rank,reward,train_step,Ti,Al,V,Cr,Mn,Fe,Cu,Zr,Nb,Mo,Sn,Hf,Ta,W,Si,C,N,O,Sc,Is_Wrought,Def_Temp,Def_Strain,HT1,HT1_Temp,HT1_Time,HT1_Quench,HT1_Air,HT1_Furnace,HT2,HT2_Temp,HT2_Time,HT2_Quench,HT2_Air,Mo_eq,Al_eq,beta_transform_T,YM,YS,UTS,El,HV,YM_objective_trend,YM_objective_lower,YM_objective_upper,YM_objective_scale,YM_weight,YS_objective_trend,YS_objective_lower,YS_objective_upper,YS_objective_scale,YS_weight,UTS_objective_trend,UTS_objective_lower,UTS_objective_upper,UTS_objective_scale,UTS_weight,El_objective_trend,El_objective_lower,El_objective_upper,El_objective_scale,El_weight,HV_objective_trend,HV_objective_lower,HV_objective_upper,HV_objective_scale,HV_weight
1,0.407534,6725,79.9,7.2,7.9,0.8,,2.7,,0.0,0.4,1.1,0.0,,0.0,,,,,,,0,0.0,0.0,1,725.0,0.05,1,0,0,0,0.0,0.0,0,0,0.58,7.2,783.77,205.6,1482.1,1826.6,6.0,271.3,maximize,120.0,inf,70.0,0.333333,neutral,1400.0,inf,813.0,0.133333,neutral,1600.0,inf,932.0,0.066667,neutral,0.0,inf,13.5,0.2,neutral,0.0,inf,273.0,0.266667
2,0.296732,6898,81.0,3.7,8.0,6.0,,1.0,,0.0,0.0,0.0,0.0,,0.3,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,11.33,3.7,722.77,182.3,1458.2,1709.2,14.1,148.8,maximize,120.0,inf,70.0,0.333333,neutral,1400.0,inf,813.0,0.133333,neutral,1600.0,inf,932.0,0.066667,neutral,0.0,inf,13.5,0.2,neutral,0.0,inf,273.0,0.266667
3,0.196323,6695,66.8,7.8,8.1,5.8,,1.6,,1.9,1.5,6.0,0.4,,0.1,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,13.35,8.25,664.19,161.2,1722.9,1998.4,22.7,215.5,maximize,120.0,inf,70.0,0.333333,neutral,1400.0,inf,813.0,0.133333,neutral,1600.0,inf,932.0,0.066667,neutral,0.0,inf,13.5,0.2,neutral,0.0,inf,273.0,0.266667
4,0.236247,6950,60.5,6.9,9.6,8.8,,7.5,,4.9,1.8,0.0,0.0,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,14.12,7.72,642.92,169.6,1897.6,2194.1,19.6,249.1,maximize,120.0,inf,70.0,0.333333,neutral,1400.0,inf,813.0,0.133333,neutral,1600.0,inf,932.0,0.066667,neutral,0.0,inf,13.5,0.2,neutral,0.0,inf,273.0,0.266667
5,0.222212,6656,60.2,4.7,8.5,8.1,,7.3,,10.4,0.0,0.0,0.4,,0.4,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,14.04,6.57,623.48,166.7,1873.6,2163.8,17.2,247.6,maximize,120.0,inf,70.0,0.333333,neutral,1400.0,inf,813.0,0.133333,neutral,1600.0,inf,932.0,0.066667,neutral,0.0,inf,13.5,0.2,neutral,0.0,inf,273.0,0.266667
6,0.214262,6790,67.5,0.6,9.4,4.4,,6.7,,0.0,8.1,0.8,0.1,,2.4,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,16.33,0.63,711.92,165.0,1648.0,1887.7,13.6,175.0,maximize,120.0,inf,70.0,0.333333,neutral,1400.0,inf,813.0,0.133333,neutral,1600.0,inf,932.0,0.066667,neutral,0.0,inf,13.5,0.2,neutral,0.0,inf,273.0,0.266667
7,0.178315,6483,88.4,3.1,5.2,2.6,,0.7,,0.0,0.0,0.0,0.0,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,4.54,3.1,795.69,157.4,1414.0,1645.1,10.9,115.9,maximize,120.0,inf,70.0,0.333333,neutral,1400.0,inf,813.0,0.133333,neutral,1600.0,inf,932.0,0.066667,neutral,0.0,inf,13.5,0.2,neutral,0.0,inf,273.0,0.266667
8,0.169776,6029,67.0,8.0,8.9,0.9,,2.4,,4.8,5.0,1.3,1.5,,0.2,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,2.15,9.3,743.72,155.7,1691.0,1951.3,13.6,212.5,maximize,120.0,inf,70.0,0.333333,neutral,1400.0,inf,813.0,0.133333,neutral,1600.0,inf,932.0,0.066667,neutral,0.0,inf,13.5,0.2,neutral,0.0,inf,273.0,0.266667
9,0.140731,6976,65.9,8.2,9.7,0.2,,1.1,,4.1,10.4,0.0,0.0,,0.4,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,1.62,8.88,754.05,149.6,1569.0,1826.0,12.0,160.5,maximize,120.0,inf,70.0,0.333333,neutral,1400.0,inf,813.0,0.133333,neutral,1600.0,inf,932.0,0.066667,neutral,0.0,inf,13.5,0.2,neutral,0.0,inf,273.0,0.266667
10,0.127446,6509,60.9,5.9,7.6,2.6,,0.2,,0.2,3.5,3.7,4.5,,10.9,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,10.43,7.43,755.62,146.8,1659.1,1915.2,20.5,195.4,maximize,120.0,inf,70.0,0.333333,neutral,1400.0,inf,813.0,0.133333,neutral,1600.0,inf,932.0,0.066667,neutral,0.0,inf,13.5,0.2,neutral,0.0,inf,273.0,0.266667
